Cmdline: /data/local/tmp/simpleperf record -o /data/local/tmp/perf.data -e instructions -f 1000 --duration 100 --call-graph fp --app com.zamface
Arch: arm64
Event: instructions (type 0, config 1)
Samples: 87150
Event count: 132874736263

Overhead  Tid   Command
0.00%     7458  PfRxCachedThrea
0.00%     7461  PfRxCachedThrea
0.00%     7594  PfRxCachedThrea
0.00%     7475  PfRxCachedThrea
0.00%     7535  PfRxCachedThrea
0.00%     6568  Crashlytics Exc
0.00%     7505  PfRxCachedThrea
0.00%     7498  PfRxCachedThrea
0.00%     7435  PfRxCachedThrea
0.00%     7443  PfRxCachedThrea
0.00%     7500  PfRxCachedThrea
0.00%     7511  PfRxCachedThrea
0.00%     7483  PfRxCachedThrea
0.00%     7540  PfRxCachedThrea
0.00%     7514  PfRxCachedThrea
0.00%     7480  PfRxCachedThrea
0.00%     7509  PfRxCachedThrea
0.00%     7515  PfRxCachedThrea
0.00%     7525  PfRxCachedThrea
0.00%     7550  PfRxCachedThrea
0.00%     7555  PfRxCachedThrea
0.00%     7397  RequestFactoryE
0.00%     7567  PfRxCachedThrea
0.00%     6685  CookieMonsterCl
0.00%     7495  PfRxCachedThrea
0.00%     7587  PfRxCachedThrea
0.00%     7602  PfRxCachedThrea
0.00%     7488  PfRxCachedThrea
0.00%     7386  Measurement Wor
0.00%     7549  PfRxCachedThrea
0.00%     7556  PfRxCachedThrea
0.00%     7431  PfRxCachedThrea
0.00%     7542  PfRxCachedThrea
0.00%     7526  PfRxCachedThrea
0.00%     7524  PfRxCachedThrea
0.00%     7521  PfRxCachedThrea
0.00%     7491  PfRxCachedThrea
0.00%     6597  OkHttp Connecti
0.00%     7743  OkHttp Connecti
0.00%     7596  PfRxCachedThrea
0.00%     7578  PfRxCachedThrea
0.00%     6794  PfRxCachedWorke
0.00%     7467  PfRxCachedThrea
0.00%     7052  hwuiTask1
0.00%     7577  PfRxCachedThrea
0.00%     7474  PfRxCachedThrea
0.00%     7561  PfRxCachedThrea
0.00%     7520  PfRxCachedThrea
0.00%     6724  OkHttp TaskRunn
0.00%     7590  PfRxCachedThrea
0.00%     6557  FinalizerWatchd
0.00%     6713  Okio Watchdog
0.00%     7597  PfRxCachedThrea
