Battery History (0% used, 3996 used of 4096KB, 5 strings using 338):
                    0 (14) RESET:TIME: 2022-03-28-01-08-44
          +1m52s440ms (2) 024 stats=0:"dump"

Per-PID Stats:
  PID 0 wake time: +12s391ms
  PID 1298 wake time: +2ms
  PID 1830 wake time: +215ms
  PID 1830 wake time: +13ms
  PID 1560 wake time: +2ms
  PID 0 wake time: +1m11s42ms
  PID 1298 wake time: +2s367ms
  PID 8652 wake time: +4m55s811ms

Daily stats:
  Current start time: 2022-03-28-00-51-38
  Next min deadline: 2022-03-29-01-00-00
  Next max deadline: 2022-03-29-03-00-00
  Current daily charge step durations:
    #0: +35s582ms to 24 (screen-off, power-save-off, device-idle-off)
    #1: +35s336ms to 23 (screen-off, power-save-off, device-idle-off)
    #2: +34s947ms to 22 (screen-off, power-save-off, device-idle-off)
    #3: +34s945ms to 21 (screen-off, power-save-off, device-idle-off)
    #4: +34s978ms to 20 (screen-off, power-save-off, device-idle-off)
    #5: +34s966ms to 19 (screen-off, power-save-off, device-idle-off)
    #6: +34s936ms to 18 (screen-off, power-save-off, device-idle-off)
    #7: +34s621ms to 17 (screen-off, power-save-off, device-idle-off)
    #8: +35s358ms to 16 (power-save-off, device-idle-off)
    #9: +37s45ms to 15 (power-save-off, device-idle-off)
    #10: +36s711ms to 14 (screen-on, power-save-off, device-idle-off)
    #11: +36s697ms to 13 (screen-on, power-save-off, device-idle-off)
    #12: +35s962ms to 12 (power-save-off, device-idle-off)
    #13: +35s853ms to 11 (screen-off, power-save-off, device-idle-off)
    #14: +33s713ms to 10 (screen-off, power-save-off, device-idle-off)
    #15: +35s98ms to 9 (screen-off, power-save-off, device-idle-off)
    #16: +34s100ms to 8 (screen-off, power-save-off, device-idle-off)
    #17: +34s605ms to 7 (screen-off, power-save-off, device-idle-off)
    #18: +34s604ms to 6 (screen-off, power-save-off, device-idle-off)
    #19: +35s648ms to 5 (power-save-off, device-idle-off)
    #20: +34s624ms to 4 (screen-off, power-save-off, device-idle-off)
    #21: +36s57ms to 3 (screen-off, power-save-off, device-idle-off)
    #22: +37s419ms to 2 (power-save-off, device-idle-off)
      Charge total time: 58m 58s 200ms  (from 23 steps)
      Charge screen off time: 58m 13s 500ms  (from 16 steps)
      Charge screen on time: 1h 1m 10s 400ms  (from 2 steps)
    Package changes:
      Update com.google.android.youtube vers=1528288704
      Update com.google.android.youtube vers=1528288704
  Daily from 2022-03-24-03-21-09 to 2022-03-28-00-51-38:
    Discharge step durations:
      #0: +2h3m13s47ms to 0 (screen-off, power-save-off, device-idle-off)
      #1: +30m57s125ms to 1 (screen-off, power-save-off, device-idle-off)
      #2: +33m27s800ms to 2 (screen-off, power-save-off, device-idle-off)
      #3: +39m12s970ms to 3 (screen-off, power-save-off, device-idle-off)
      #4: +36m13s176ms to 4 (screen-off, power-save-off, device-idle-off)
      #5: +38m19s428ms to 5 (screen-off, power-save-off, device-idle-off)
