Cmdline: /data/local/tmp/simpleperf record -o /data/local/tmp/perf.data -e instructions -f 1000 --duration 210 --call-graph fp --app com.google.android.youtube
Arch: arm64
Event: instructions (type 0, config 1)
Samples: 4324
Event count: 4706082684

Overhead  Symbol
0.17%     libopusV2JNI.so[+f390]
0.16%     libopusV2JNI.so[+16938]
0.16%     libopusV2JNI.so[+15cb8]
0.16%     libopusV2JNI.so[+16908]
0.16%     libopusV2JNI.so[+16a94]
0.16%     libopusV2JNI.so[+169dc]
0.16%     libopusV2JNI.so[+b0e0]
0.16%     libopusV2JNI.so[+172d8]
0.16%     libopusV2JNI.so[+13590]
0.16%     libopusV2JNI.so[+1358c]
0.16%     libopusV2JNI.so[+1690c]
0.16%     libopusV2JNI.so[+12d60]
0.16%     libopusV2JNI.so[+13584]
0.16%     libopusV2JNI.so[+16a20]
0.16%     libopusV2JNI.so[+1548c]
0.15%     libopusV2JNI.so[+169d4]
0.15%     libopusV2JNI.so[+145d4]
0.15%     libopusV2JNI.so[+145f0]
0.15%     libopusV2JNI.so[+1460c]
0.15%     libopusV2JNI.so[+16de8]
0.15%     libopusV2JNI.so[+1703c]
0.15%     libopusV2JNI.so[+b110]
0.15%     libopusV2JNI.so[+12d70]
0.15%     libopusV2JNI.so[+14608]
0.15%     libopusV2JNI.so[+14fbc]
0.15%     libopusV2JNI.so[+135a0]
0.15%     libopusV2JNI.so[+1458c]
0.15%     libopusV2JNI.so[+1692c]
0.15%     libopusV2JNI.so[+14590]
0.14%     libopusV2JNI.so[+169d8]
0.14%     libopusV2JNI.so[+151f8]
0.14%     libopusV2JNI.so[+1544c]
0.14%     libopusV2JNI.so[+16000]
0.14%     libopusV2JNI.so[+172dc]
0.14%     libopusV2JNI.so[+1508c]
0.14%     libopusV2JNI.so[+16cf8]
0.14%     libopusV2JNI.so[+15b8c]
0.14%     libopusV2JNI.so[+169f8]
0.14%     libopusV2JNI.so[+132bc]
0.14%     libopusV2JNI.so[+170c8]
0.14%     libopusV2JNI.so[+169c0]
0.14%     libopusV2JNI.so[+132c8]
0.14%     libopusV2JNI.so[+145dc]
0.14%     libopusV2JNI.so[+17134]
0.14%     libopusV2JNI.so[+169e0]
0.14%     libopusV2JNI.so[+169ec]
0.13%     libopusV2JNI.so[+16a90]
