Battery History (0% used, 3988 used of 4096KB, 9 strings using 734):
                    0 (14) RESET:TIME: 2022-03-28-01-06-10
          +1m25s171ms (2) 024 +audio
          +1m25s309ms (2) 024 -audio
          +1m26s410ms (2) 024 +audio
          +1m26s550ms (2) 024 -audio
          +1m26s948ms (2) 024 +audio
          +1m27s090ms (2) 024 -audio
          +1m27s566ms (2) 024 +audio
          +1m27s709ms (2) 024 -audio
          +1m28s303ms (2) 024 +audio
          +1m28s449ms (2) 024 -audio
          +1m33s314ms (1) 024 -camera
          +1m51s725ms (2) 024 stats=0:"dump"

Per-PID Stats:
  PID 0 wake time: +12s32ms
  PID 1298 wake time: +2ms
  PID 1830 wake time: +27ms
  PID 1794 wake time: +6ms
  PID 1830 wake time: +29ms
  PID 1560 wake time: +11ms
  PID 0 wake time: +2m17s203ms
  PID 1298 wake time: +24ms
  PID 7125 wake time: +10ms
  PID 1298 wake time: +25ms
  PID 1298 wake time: +98ms
  PID 1298 wake time: +1s372ms
  PID 8652 wake time: +2m20s991ms

Daily stats:
  Current start time: 2022-03-28-00-51-38
  Next min deadline: 2022-03-29-01-00-00
  Next max deadline: 2022-03-29-03-00-00
  Current daily charge step durations:
    #0: +35s582ms to 24 (screen-off, power-save-off, device-idle-off)
    #1: +35s336ms to 23 (screen-off, power-save-off, device-idle-off)
    #2: +34s947ms to 22 (screen-off, power-save-off, device-idle-off)
    #3: +34s945ms to 21 (screen-off, power-save-off, device-idle-off)
    #4: +34s978ms to 20 (screen-off, power-save-off, device-idle-off)
    #5: +34s966ms to 19 (screen-off, power-save-off, device-idle-off)
    #6: +34s936ms to 18 (screen-off, power-save-off, device-idle-off)
    #7: +34s621ms to 17 (screen-off, power-save-off, device-idle-off)
    #8: +35s358ms to 16 (power-save-off, device-idle-off)
    #9: +37s45ms to 15 (power-save-off, device-idle-off)
    #10: +36s711ms to 14 (screen-on, power-save-off, device-idle-off)
    #11: +36s697ms to 13 (screen-on, power-save-off, device-idle-off)
    #12: +35s962ms to 12 (power-save-off, device-idle-off)
    #13: +35s853ms to 11 (screen-off, power-save-off, device-idle-off)
    #14: +33s713ms to 10 (screen-off, power-save-off, device-idle-off)
    #15: +35s98ms to 9 (screen-off, power-save-off, device-idle-off)
    #16: +34s100ms to 8 (screen-off, power-save-off, device-idle-off)
    #17: +34s605ms to 7 (screen-off, power-save-off, device-idle-off)
    #18: +34s604ms to 6 (screen-off, power-save-off, device-idle-off)
    #19: +35s648ms to 5 (power-save-off, device-idle-off)
    #20: +34s624ms to 4 (screen-off, power-save-off, device-idle-off)
    #21: +36s57ms to 3 (screen-off, power-save-off, device-idle-off)
    #22: +37s419ms to 2 (power-save-off, device-idle-off)
      Charge total time: 58m 58s 200ms  (from 23 steps)
      Charge screen off time: 58m 13s 500ms  (from 16 steps)
      Charge screen on time: 1h 1m 10s 400ms  (from 2 steps)
    Package changes:
      Update com.google.android.youtube vers=1528288704
      Update com.google.android.youtube vers=1528288704
  Daily from 2022-03-24-03-21-09 to 2022-03-28-00-51-38:
    Discharge step durations:
      #0: +2h3m13s47ms to 0 (screen-off, power-save-off, device-idle-off)
      #1: +30m57s125ms to 1 (screen-off, power-save-off, device-idle-off)
      #2: +33m27s800ms to 2 (screen-off, power-save-off, device-idle-off)
      #3: +39m12s970ms to 3 (screen-off, power-save-off, device-idle-off)
      #4: +36m13s176ms to 4 (screen-off, power-save-off, device-idle-off)
      #5: +38m19s428ms to 5 (screen-off, power-save-off, device-idle-off)
      #6: +1h1m55s755ms to 6 (screen-off, power-save-off, device-idle-off)
      #7: +38m0s968ms to 7 (screen-off, power-save-off, device-idle-off)
      #8: +35m56s974ms to 8 (screen-off, power-save-off, device-idle-off)
      #9: +33m17s924ms to 9 (screen-off, power-save-off, device-idle-off)
      #10: +33m26s780ms to 10 (screen-off, power-save-off, device-idle-off)
      #11: +50m21s340ms to 11 (screen-off, power-save-off, device-idle-off)
      #12: +1h21m17s168ms to 12 (screen-off, power-save-off, device-idle-off)
      #13: +1h16m46s100ms to 13 (screen-off, power-save-off, device-idle-off)
      #14: +34m1s416ms to 14 (screen-off, power-save-off, device-idle-off)
      #15: +1h1m15s927ms to 15 (screen-off, power-save-off, device-idle-off)
      #16: +38m34s58ms to 16 (screen-off, power-save-off, device-idle-off)
      #17: +40m59s323ms to 17 (screen-off, power-save-off, device-idle-off)
      #18: +39m16s217ms to 18 (screen-off, power-save-off, device-idle-off)
      #19: +30m24s400ms to 19 (screen-off, power-save-off, device-idle-off)
      #20: +38m10s971ms to 20 (screen-off, power-save-off, device-idle-off)
      #21: +32m9s994ms to 21 (screen-off, power-save-off, device-idle-off)
      #22: +29m58s440ms to 22 (screen-off, power-save-off, device-idle-off)
      #23: +1h5m38s438ms to 23 (screen-off, power-save-off, device-idle-off)
      #24: +1h8m29s30ms to 24 (screen-off, power-save-off, device-idle-off)
      #25: +1h5m38s954ms to 25 (screen-off, power-save-off, device-idle-off)
      #26: +45m3s563ms to 26 (screen-off, power-save-off, device-idle-off)
      #27: +31m14s279ms to 27 (screen-off, power-save-off, device-idle-off)
        Discharge total time: 3d 7h 21m 59s 800ms  (from 28 steps)
        Discharge screen off time: 3d 7h 21m 59s 800ms  (from 28 steps)
  Daily from 2022-03-23-03-18-20 to 2022-03-24-03-21-09:
    Discharge step durations:
      #0: +30m1s984ms to 29 (screen-off, power-save-off, device-idle-off)
      #1: +26m21s968ms to 30 (screen-off, power-save-off, device-idle-off)
      #2: +30m0s983ms to 31 (screen-off, power-save-off, device-idle-off)
      #3: +29m59s998ms to 32 (screen-off, power-save-off, device-idle-off)
      #4: +24m10s986ms to 33 (screen-off, power-save-off, device-idle-off)
      #5: +32m27s957ms to 34 (screen-off, power-save-off, device-idle-off)
      #6: +28m50s468ms to 35 (screen-off, power-save-off, device-idle-off)
      #7: +31m13s525ms to 36 (screen-off, power-save-off, device-idle-off)
      #8: +43m16s960ms to 37 (screen-off, power-save-off, device-idle-off)
      #9: +59m59s927ms to 38 (screen-off, power-save-off, device-idle-off)
      #10: +1h0m0s14ms to 39 (screen-off, power-save-off, device-idle-off)
      #11: +1h0m26s252ms to 40 (screen-off, power-save-off, device-idle-off)
      #12: +45m7s691ms to 41 (screen-off, power-save-off, device-idle-off)
      #13: +34m25s974ms to 42 (screen-off, power-save-off, device-idle-off)
      #14: +54m17s405ms to 43 (screen-off, power-save-off, device-idle-off)
      #15: +40m2s545ms to 44 (screen-off, power-save-off, device-idle-off)
      #16: +32m13s473ms to 45 (screen-off, power-save-off, device-idle-off)
      #17: +45m18s14ms to 46 (screen-off, power-save-off, device-idle-off)
      #18: +32m39s443ms to 47 (screen-off, power-save-off, device-idle-off)
      #19: +42m18s987ms to 48 (screen-off, power-save-off, device-idle-off)
      #20: +36m15s699ms to 49 (screen-off, power-save-off, device-idle-off)
      #21: +41m23s852ms to 50 (screen-off, power-save-off, device-idle-off)
      #22: +45m30s384ms to 51 (screen-off, power-save-off, device-idle-off)
      #23: +50m55s961ms to 52 (screen-off, power-save-off, device-idle-off)
      #24: +39m4s989ms to 53 (screen-off, power-save-off, device-idle-off)
