Cmdline: /data/local/tmp/simpleperf record -o /data/local/tmp/perf.data -e instructions -f 1000 --duration 210 --call-graph fp --app com.google.android.youtube
Arch: arm64
Event: instructions (type 0, config 1)
Samples: 4163
Event count: 4718137480

Overhead  Symbol
0.17%     libopusV2JNI.so[+16d94]
0.17%     libopusV2JNI.so[+14594]
0.17%     libopusV2JNI.so[+16a00]
0.17%     libopusV2JNI.so[+15230]
0.17%     libopusV2JNI.so[+132b0]
0.17%     libopusV2JNI.so[+154c0]
0.17%     libopusV2JNI.so[+16bdc]
0.16%     libopusV2JNI.so[+16fb4]
0.16%     libopusV2JNI.so[+b0f0]
0.16%     libopusV2JNI.so[+af7c]
0.16%     libopusV2JNI.so[+11768]
0.16%     libopusV2JNI.so[+16f84]
0.16%     libopusV2JNI.so[+12190]
0.16%     libopusV2JNI.so[+169b0]
0.16%     libopusV2JNI.so[+17334]
0.16%     libopusV2JNI.so[+15cbc]
0.16%     libopusV2JNI.so[+15038]
0.16%     libopusV2JNI.so[+14584]
0.15%     libopusV2JNI.so[+14fcc]
0.15%     libopusV2JNI.so[+16d58]
0.15%     libopusV2JNI.so[+152c8]
0.15%     libopusV2JNI.so[+1694c]
0.15%     libopusV2JNI.so[+145e8]
0.15%     libopusV2JNI.so[+14588]
0.15%     libopusV2JNI.so[+16dc8]
0.15%     libopusV2JNI.so[+1460c]
0.15%     libopusV2JNI.so[+13a2c]
0.15%     libopusV2JNI.so[+172bc]
0.15%     libopusV2JNI.so[+15050]
0.15%     libopusV2JNI.so[+affc]
0.15%     libopusV2JNI.so[+13b58]
0.15%     libopusV2JNI.so[+16934]
0.15%     libopusV2JNI.so[+172cc]
0.14%     libopusV2JNI.so[+16fb8]
0.14%     libopusV2JNI.so[+16a1c]
0.14%     libopusV2JNI.so[+132c4]
0.14%     libopusV2JNI.so[+16f9c]
0.14%     libopusV2JNI.so[+16d20]
0.14%     libopusV2JNI.so[+b0b0]
0.14%     libopusV2JNI.so[+115b4]
0.14%     libopusV2JNI.so[+16fb0]
0.14%     libopusV2JNI.so[+16a2c]
0.14%     libopusV2JNI.so[+13a30]
0.14%     libopusV2JNI.so[+16e20]
0.13%     libopusV2JNI.so[+169b8]
0.13%     libopusV2JNI.so[+11d8c]
0.13%     libopusV2JNI.so[+132a8]
0.13%     libopusV2JNI.so[+15268]
0.13%     libopusV2JNI.so[+af74]
0.13%     libopusV2JNI.so[+169c8]
0.13%     libopusV2JNI.so[+13590]
0.13%     libopusV2JNI.so[+16e74]
0.13%     libopusV2JNI.so[+145ec]
0.13%     libopusV2JNI.so[+169a4]
0.13%     libopusV2JNI.so[+15ca8]
0.13%     libopusV2JNI.so[+16ff8]
0.13%     libopusV2JNI.so[+16f54]
0.13%     libopusV2JNI.so[+b0bc]
0.13%     libopusV2JNI.so[+14a90]
0.13%     libopusV2JNI.so[+16dd8]
0.13%     libopusV2JNI.so[+16a14]
0.13%     libopusV2JNI.so[+117a4]
0.13%     libopusV2JNI.so[+16fac]
0.13%     libopusV2JNI.so[+15254]
0.13%     libopusV2JNI.so[+169d0]
0.13%     libopusV2JNI.so[+14f88]
0.13%     libopusV2JNI.so[+15274]
0.13%     libopusV2JNI.so[+17100]
0.13%     libopusV2JNI.so[+f38c]
0.12%     libopusV2JNI.so[+113fc]
0.12%     libopusV2JNI.so[+17238]
0.12%     libopusV2JNI.so[+145f8]
0.12%     libopusV2JNI.so[+15250]
0.12%     libopusV2JNI.so[+152d8]
0.12%     libopusV2JNI.so[+16fa4]
0.12%     libopusV2JNI.so[+16a08]
0.12%     libopusV2JNI.so[+150a4]
0.12%     libopusV2JNI.so[+17294]
0.12%     libopusV2JNI.so[+151fc]
0.12%     libopusV2JNI.so[+145e4]
0.12%     libopusV2JNI.so[+152d4]
0.12%     libopusV2JNI.so[+169ec]
0.12%     @plt
0.12%     libopusV2JNI.so[+16e1c]
0.11%     libopusV2JNI.so[+17304]
0.11%     libopusV2JNI.so[+16d48]
0.11%     libopusV2JNI.so[+14fd8]
0.11%     libopusV2JNI.so[+16dd4]
0.11%     libopusV2JNI.so[+16d54]
0.11%     libopusV2JNI.so[+16a70]
0.11%     libopusV2JNI.so[+152e8]
0.11%     libopusV2JNI.so[+f3b8]
0.11%     libopusV2JNI.so[+115dc]
0.11%     libopusV2JNI.so[+15138]
0.11%     libopusV2JNI.so[+145bc]
0.11%     libopusV2JNI.so[+17274]
0.11%     libopusV2JNI.so[+143dc]
0.11%     libopusV2JNI.so[+1525c]
0.11%     libopusV2JNI.so[+1726c]
0.10%     libopusV2JNI.so[+136ec]
0.10%     libopusV2JNI.so[+13574]
0.10%     libopusV2JNI.so[+15064]
0.10%     libopusV2JNI.so[+14f68]
0.10%     libopusV2JNI.so[+132c0]
0.10%     libopusV2JNI.so[+15f18]
0.10%     libopusV2JNI.so[+14aa0]
0.10%     libopusV2JNI.so[+16f88]
0.10%     libopusV2JNI.so[+16f7c]
0.10%     libopusV2JNI.so[+169e0]
0.10%     libopusV2JNI.so[+12c24]
0.10%     libopusV2JNI.so[+15204]
0.10%     libopusV2JNI.so[+15cd0]
0.10%     libopusV2JNI.so[+af50]
0.10%     libopusV2JNI.so[+af8c]
0.10%     libopusV2JNI.so[+16cf8]
0.10%     libopusV2JNI.so[+16f38]
0.10%     libopusV2JNI.so[+145b4]
0.10%     libopusV2JNI.so[+13578]
0.10%     libopusV2JNI.so[+1711c]
0.10%     libopusV2JNI.so[+16d40]
0.10%     libopusV2JNI.so[+140c0]
0.10%     libopusV2JNI.so[+115c8]
0.10%     libopusV2JNI.so[+139b8]
0.10%     libopusV2JNI.so[+13518]
0.10%     libopusV2JNI.so[+13510]
0.10%     libopusV2JNI.so[+16a6c]
0.10%     libopusV2JNI.so[+af88]
0.10%     libopusV2JNI.so[+16bd8]
0.10%     libopusV2JNI.so[+17278]
0.10%     libopusV2JNI.so[+140b4]
0.10%     libopusV2JNI.so[+16f94]
0.10%     libopusV2JNI.so[+16d8c]
0.09%     libopusV2JNI.so[+10f10]
0.09%     libopusV2JNI.so[+16f90]
0.09%     libopusV2JNI.so[+1708c]
0.09%     libopusV2JNI.so[+16a24]
0.09%     libopusV2JNI.so[+14b80]
0.09%     libopusV2JNI.so[+16d34]
0.09%     libopusV2JNI.so[+11dbc]
0.09%     libopusV2JNI.so[+16d9c]
0.09%     libopusV2JNI.so[+17114]
0.09%     libopusV2JNI.so[+17124]
0.09%     libopusV2JNI.so[+16d3c]
0.09%     libopusV2JNI.so[+17068]
0.09%     libopusV2JNI.so[+14f4c]
0.09%     libopusV2JNI.so[+16d08]
0.09%     libopusV2JNI.so[+16d14]
0.09%     libopusV2JNI.so[+1500c]
0.09%     libopusV2JNI.so[+14b3c]
0.09%     libopusV2JNI.so[+13540]
0.09%     libopusV2JNI.so[+16e14]
0.09%     libopusV2JNI.so[+1459c]
0.09%     libopusV2JNI.so[+16bd0]
0.09%     libopusV2JNI.so[+13804]
0.09%     libopusV2JNI.so[+afdc]
0.09%     libopusV2JNI.so[+1707c]
0.09%     libopusV2JNI.so[+16d18]
0.09%     libopusV2JNI.so[+144ac]
0.09%     libopusV2JNI.so[+14c9c]
0.09%     libopusV2JNI.so[+11788]
0.09%     libopusV2JNI.so[+134f4]
0.08%     libopusV2JNI.so[+1428c]
0.08%     libopusV2JNI.so[+b158]
0.08%     libopusV2JNI.so[+17160]
0.08%     libopusV2JNI.so[+13be0]
0.08%     libopusV2JNI.so[+12480]
0.08%     libopusV2JNI.so[+16f8c]
