Cmdline: /data/local/tmp/simpleperf record -o /data/local/tmp/perf.data -e instructions -f 1000 --duration 210 --call-graph fp --app com.google.android.youtube
Arch: arm64
Event: instructions (type 0, config 1)
Samples: 2870
Event count: 1196373175

Overhead  Symbol
0.30%     art::mirror::Class::FindInterfaceMethod(std::__1::basic_string_view<char, std::__1::char_traits<char> >, art::Signature const&, art::PointerSize)
0.30%     ExecuteMterpImpl
0.29%     artIGetObjectFromMterp
0.28%     artAllocObjectFromCodeInitializedRegionTLAB
0.28%     art_quick_invoke_static_stub
0.28%     art::Monitor::Wait(art::Thread*, long, int, bool, art::ThreadState)
0.28%     art::JNI<false>::GetStringUTFChars(_JNIEnv*, _jstring*, unsigned char*)
0.27%     art::gc::space::ContinuousSpace::Contains(art::mirror::Object const*) const
0.26%     MterpSGetObj
0.26%     art::JNI<false>::GetStringChars(_JNIEnv*, _jstring*, unsigned char*)
0.25%     art::ObjPtr<art::mirror::PrimitiveArray<float> > art::JNI<false>::DecodeAndCheckArrayType<_jfloatArray*, float, art::mirror::PrimitiveArray<float> >(art::ScopedObjectAccess&, _jfloatArray*, char const*, char const*)
0.25%     art::JniMethodFastStart(art::Thread*)
0.24%     art::ProfilingInfo::GetInlineCache(unsigned int)
0.24%     art::(anonymous namespace)::ArgArray::BuildArgArrayFromVarArgs(art::ScopedObjectAccessAlreadyRunnable const&, art::ObjPtr<art::mirror::Object>, std::__va_list)
0.24%     art::interpreter::UseFastInterpreterToInterpreterInvoke(art::ArtMethod*)
0.23%     art::gc::Heap::IsNonDiscontinuousSpaceHeapAddress(void const*) const
0.23%     art::ClassLinker::ResolveField(unsigned int, art::Handle<art::mirror::DexCache>, art::Handle<art::mirror::ClassLoader>, bool)
0.23%     art::Signature::operator==(art::Signature const&) const
0.23%     mterp_op_iget_object_quick
0.23%     bool art::mirror::ObjectArray<art::mirror::Object>::CheckAssignable<(art::VerifyObjectFlags)0>(art::ObjPtr<art::mirror::Object>)
0.22%     art::ObjPtr<art::mirror::PrimitiveArray<signed char> > art::JNI<true>::DecodeAndCheckArrayType<_jbyteArray*, signed char, art::mirror::PrimitiveArray<signed char> >(art::ScopedObjectAccess&, _jbyteArray*, char const*, char const*)
0.22%     mterp_op_int_to_float
0.21%     art::QuickArgumentVisitor::VisitArguments()
0.21%     art::BuildQuickShadowFrameVisitor::Visit()
0.21%     MterpInvokeDirectRange
0.21%     art::JNI<false>::GetDirectBufferAddress(_JNIEnv*, _jobject*)
0.21%     art::String_fastSubstring(_JNIEnv*, _jobject*, int, int)
0.20%     art::mirror::PrimitiveArray<signed char>::Alloc(art::Thread*, unsigned long)
0.20%     art::interpreter::EnterInterpreterFromEntryPoint(art::Thread*, art::CodeItemDataAccessor const&, art::ShadowFrame*)
0.20%     art::JValue art::InvokeVirtualOrInterfaceWithVarArgs<_jmethodID*>(art::ScopedObjectAccessAlreadyRunnable const&, _jobject*, _jmethodID*, std::__va_list)
0.19%     art::JValue art::InvokeWithVarArgs<art::ArtMethod*>(art::ScopedObjectAccessAlreadyRunnable const&, _jobject*, art::ArtMethod*, std::__va_list)
0.19%     art::ClassLinker::DoResolveType(art::dex::TypeIndex, art::Handle<art::mirror::DexCache>, art::Handle<art::mirror::ClassLoader>)
0.19%     art::ClassLinker::ResolveFieldJLS(unsigned int, art::Handle<art::mirror::DexCache>, art::Handle<art::mirror::ClassLoader>)
0.19%     art::CharsetUtils_toUtf8Bytes(_JNIEnv*, _jclass*, _jstring*, int, int)
0.19%     art_quick_indexof
0.18%     art::JniMethodFastEndWithReference(_jobject*, unsigned int, art::Thread*)
0.18%     art::JniMethodFastEnd(unsigned int, art::Thread*)
0.18%     art_quick_lock_object_no_inline
0.17%     art::JNI<false>::FindClass(_JNIEnv*, char const*)
0.17%     MterpAddHotnessBatch
