Cmdline: /data/local/tmp/simpleperf record -o /data/local/tmp/perf.data -e instructions -f 1000 --duration 210 --call-graph fp --app com.google.android.youtube
Arch: arm64
Event: instructions (type 0, config 1)
Samples: 5617
Event count: 2463634078

Overhead  Symbol
0.31%     MterpNewInstance
0.29%     art_quick_invoke_static_stub
0.28%     art::ReferenceMapVisitor<art::RootCallbackVisitor, false>::VisitFrame()
0.28%     MterpAddHotnessBatch
0.27%     art::Monitor::Unlock(art::Thread*)
0.27%     art::ArtMethod::Invoke(art::Thread*, unsigned int*, unsigned int, art::JValue*, char const*)
0.27%     art::ClassLinker::ShouldUseInterpreterEntrypoint(art::ArtMethod*, void const*)
0.26%     art::mirror::String::ToCharArray(art::Thread*)
0.26%     art::JNI::DeleteLocalRef(_JNIEnv*, _jobject*)
0.25%     art::GetCalleeSaveMethodCaller(art::ArtMethod**, art::CalleeSaveType, bool)
0.25%     art::mirror::Class::FindClassMethod(art::ObjPtr<art::mirror::DexCache>, unsigned int, art::PointerSize)
0.25%     art::interpreter::Execute(art::Thread*, art::CodeItemDataAccessor const&, art::ShadowFrame&, art::JValue, bool, bool) (.llvm.13319403877762172464)
0.24%     art::JniMethodEnd(unsigned int, art::Thread*)
0.24%     art::mirror::Object* art::gc::Heap::AllocObjectWithAllocator<true, true, art::mirror::SetStringCountAndValueVisitorFromString>(art::Thread*, art::ObjPtr<art::mirror::Class>, unsigned long, art::gc::AllocatorType, art::mirror::SetStringCountAndValueVisitorFromString const&)
0.23%     ExecuteMterpImpl
0.23%     art::CodeInfo::GetInlineInfosOf(art::StackMap) const
0.22%     art::DoGetCalleeSaveMethodCaller(art::ArtMethod*, unsigned long, bool) (.llvm.7100672234758666098)
0.22%     art::BuildQuickShadowFrameVisitor::Visit()
0.22%     art_quick_lock_object_no_inline
0.22%     mterp_op_iget_object_quick
0.22%     art::String_fastSubstring(_JNIEnv*, _jobject*, int, int)
0.22%     MterpSetUpHotnessCountdown
0.22%     art::gc::Heap::IsMovableObject(art::ObjPtr<art::mirror::Object>) const
0.21%     art::ArtMethod* art::ClassLinker::ResolveMethod<(art::ClassLinker::ResolveMode)0>(unsigned int, art::Handle<art::mirror::DexCache>, art::Handle<art::mirror::ClassLoader>, art::ArtMethod*, art::InvokeType)
0.21%     art::InvokeWithVarArgs(art::ScopedObjectAccessAlreadyRunnable const&, _jobject*, _jmethodID*, std::__va_list)
0.21%     art_quick_alloc_array_resolved16_region_tlab
0.20%     bool art::interpreter::DoIPutQuick<(art::Primitive::Type)0, false>(art::ShadowFrame const&, art::Instruction const*, unsigned short)
0.20%     art_quick_unlock_object_no_inline
0.19%     art::System_arraycopy(_JNIEnv*, _jclass*, _jobject*, int, _jobject*, int, int)
0.18%     art::gc::collector::ConcurrentCopying::IsMarked(art::mirror::Object*)
0.18%     art::JNI::GetStringChars(_JNIEnv*, _jstring*, unsigned char*)
0.18%     adler32_z
0.18%     art::IndirectReferenceTable::Remove(art::IRTSegmentState, void*)
0.17%     art::Reference_getReferent(_JNIEnv*, _jobject*)
0.17%     art::JNI::GetDirectBufferAddress(_JNIEnv*, _jobject*)
0.17%     bool art::mirror::ObjectArray<art::mirror::Class>::CheckAssignable<(art::VerifyObjectFlags)0>(art::ObjPtr<art::mirror::Class>)
0.17%     artIGetObjectFromMterp
0.17%     mterp_op_invoke_interface
0.16%     art::ClassLinker::ResolveField(unsigned int, art::Handle<art::mirror::DexCache>, art::Handle<art::mirror::ClassLoader>, bool)
0.16%     art::mirror::String::GetUtfLength()
0.16%     art::ConditionVariable::Signal(art::Thread*)
0.16%     void art::gc::collector::ConcurrentCopying::MarkRoot<false>(art::Thread*, art::mirror::CompressedReference<art::mirror::Object>*)
0.15%     mterp_op_iget_boolean_quick
0.15%     mterp_op_invoke_virtual_quick
