Cmdline: /data/local/tmp/simpleperf record -o /data/local/tmp/perf.data -e instructions -f 1000 --duration 210 --call-graph fp --app com.google.android.youtube
Arch: arm64
Event: instructions (type 0, config 1)
Samples: 4270
Event count: 4689998799

Overhead  Symbol
0.15%     libopusV2JNI.so[+145a8]
0.15%     libopusV2JNI.so[+14584]
0.14%     libopusV2JNI.so[+15074]
0.14%     libopusV2JNI.so[+142f8]
0.14%     libopusV2JNI.so[+16a2c]
0.14%     libopusV2JNI.so[+13a34]
0.14%     libopusV2JNI.so[+13ef0]
0.14%     libopusV2JNI.so[+170e8]
0.14%     libopusV2JNI.so[+172f0]
0.14%     libopusV2JNI.so[+16d54]
0.14%     libopusV2JNI.so[+1503c]
0.14%     libopusV2JNI.so[+af94]
0.14%     libopusV2JNI.so[+145fc]
0.14%     libopusV2JNI.so[+16100]
0.13%     libopusV2JNI.so[+11910]
0.13%     libopusV2JNI.so[+b0fc]
0.13%     libopusV2JNI.so[+140b0]
0.13%     libopusV2JNI.so[+16900]
0.13%     libopusV2JNI.so[+16f30]
0.13%     libopusV2JNI.so[+16d04]
0.13%     libopusV2JNI.so[+11db4]
0.13%     libopusV2JNI.so[+16a98]
0.13%     libopusV2JNI.so[+135a8]
0.12%     libopusV2JNI.so[+16a18]
0.12%     libopusV2JNI.so[+17058]
0.12%     libopusV2JNI.so[+16930]
0.12%     libopusV2JNI.so[+13830]
0.12%     libopusV2JNI.so[+11418]
0.12%     libopusV2JNI.so[+15250]
0.12%     libopusV2JNI.so[+16c38]
0.12%     libopusV2JNI.so[+131f0]
0.12%     libopusV2JNI.so[+16d10]
0.12%     libopusV2JNI.so[+14190]
0.12%     libopusV2JNI.so[+16060]
0.12%     libopusV2JNI.so[+17220]
0.12%     libopusV2JNI.so[+15210]
0.12%     libopusV2JNI.so[+16f70]
0.12%     libopusV2JNI.so[+16d34]
0.11%     libopusV2JNI.so[+e110]
0.11%     libopusV2JNI.so[+f7ac]
0.11%     libopusV2JNI.so[+17120]
0.11%     libopusV2JNI.so[+13bcc]
0.11%     libopusV2JNI.so[+16bcc]
0.11%     libopusV2JNI.so[+136e8]
0.11%     libopusV2JNI.so[+1507c]
0.11%     libopusV2JNI.so[+16a60]
0.11%     libopusV2JNI.so[+1500c]
0.10%     libopusV2JNI.so[+1405c]
0.10%     libopusV2JNI.so[+132a4]
0.10%     libopusV2JNI.so[+14174]
0.10%     libopusV2JNI.so[+16a5c]
0.10%     libopusV2JNI.so[+14fd0]
0.10%     libopusV2JNI.so[+f3a8]
0.10%     libopusV2JNI.so[+170bc]
0.10%     libopusV2JNI.so[+169dc]
0.10%     libopusV2JNI.so[+b8ec]
0.10%     libopusV2JNI.so[+15a0c]
0.10%     libopusV2JNI.so[+16e64]
0.10%     libopusV2JNI.so[+151cc]
0.10%     libopusV2JNI.so[+16a14]
0.10%     libopusV2JNI.so[+170a8]
0.10%     libopusV2JNI.so[+138d8]
0.10%     libopusV2JNI.so[+11808]
0.10%     libopusV2JNI.so[+16d18]
0.09%     libopusV2JNI.so[+16a30]
0.09%     libopusV2JNI.so[+113d8]
0.09%     libopusV2JNI.so[+16c90]
0.09%     libopusV2JNI.so[+af50]
0.09%     libopusV2JNI.so[+13bb0]
0.09%     libopusV2JNI.so[+1343c]
0.09%     libopusV2JNI.so[+1406c]
0.09%     libopusV2JNI.so[+16fbc]
0.09%     libopusV2JNI.so[+16140]
0.09%     libopusV2JNI.so[+14a50]
0.09%     libopusV2JNI.so[+1592c]
0.09%     libopusV2JNI.so[+17140]
0.09%     libopusV2JNI.so[+14aec]
0.09%     libopusV2JNI.so[+172a8]
0.09%     libopusV2JNI.so[+117a0]
0.09%     libopusV2JNI.so[+1525c]
0.09%     libopusV2JNI.so[+13bec]
0.09%     libopusV2JNI.so[+16950]
0.09%     libopusV2JNI.so[+14fac]
0.09%     libopusV2JNI.so[+12d6c]
0.09%     libopusV2JNI.so[+15ef8]
0.09%     libopusV2JNI.so[+aff4]
0.09%     libopusV2JNI.so[+135a4]
0.08%     libopusV2JNI.so[+140fc]
0.08%     libopusV2JNI.so[+170a4]
0.08%     libopusV2JNI.so[+132dc]
0.08%     libopusV2JNI.so[+15130]
0.08%     libopusV2JNI.so[+1411c]
0.08%     libopusV2JNI.so[+12fa4]
0.08%     libopusV2JNI.so[+1706c]
0.08%     libopusV2JNI.so[+16748]
0.08%     libopusV2JNI.so[+15214]
0.08%     libopusV2JNI.so[+145ec]
0.08%     libopusV2JNI.so[+14b50]
0.08%     libopusV2JNI.so[+17268]
0.08%     libopusV2JNI.so[+1541c]
0.08%     libopusV2JNI.so[+16d7c]
0.08%     libopusV2JNI.so[+b0c4]
0.08%     libopusV2JNI.so[+16c6c]
0.08%     libopusV2JNI.so[+15258]
0.08%     libopusV2JNI.so[+f7a0]
0.07%     libopusV2JNI.so[+15380]
0.07%     libopusV2JNI.so[+115d4]
0.07%     libopusV2JNI.so[+13b5c]
0.07%     libopusV2JNI.so[+afb4]
0.07%     libopusV2JNI.so[+16c30]
0.07%     libopusV2JNI.so[+15b8c]
0.07%     libopusV2JNI.so[+12354]
0.07%     libopusV2JNI.so[+13af0]
0.07%     libopusV2JNI.so[+15104]
0.07%     libopusV2JNI.so[+136dc]
0.07%     libopusV2JNI.so[+15124]
0.07%     libopusV2JNI.so[+15200]
0.07%     libopusV2JNI.so[+118d8]
0.07%     libopusV2JNI.so[+b014]
0.07%     libopusV2JNI.so[+12c0c]
0.07%     libopusV2JNI.so[+1524c]
0.07%     libopusV2JNI.so[+1408c]
0.07%     libopusV2JNI.so[+b8e0]
0.07%     libopusV2JNI.so[+16f84]
0.07%     libopusV2JNI.so[+14f70]
0.07%     libopusV2JNI.so[+16138]
0.07%     libopusV2JNI.so[+16a64]
0.07%     libopusV2JNI.so[+af4c]
0.07%     libopusV2JNI.so[+17088]
0.07%     libopusV2JNI.so[+17178]
0.07%     libopusV2JNI.so[+f7a4]
0.07%     libopusV2JNI.so[+150c0]
0.07%     libopusV2JNI.so[+16bf4]
0.07%     libopusV2JNI.so[+b008]
0.07%     libopusV2JNI.so[+15140]
0.07%     libopusV2JNI.so[+1347c]
0.07%     libopusV2JNI.so[+16c84]
0.07%     libopusV2JNI.so[+16de0]
0.07%     libopusV2JNI.so[+13514]
0.07%     libopusV2JNI.so[+16d3c]
0.07%     libopusV2JNI.so[+16d9c]
0.07%     libopusV2JNI.so[+13518]
0.07%     libopusV2JNI.so[+16f74]
0.07%     libopusV2JNI.so[+169b0]
0.06%     libopusV2JNI.so[+13af8]
0.06%     libopusV2JNI.so[+11574]
0.06%     libopusV2JNI.so[+1460c]
0.06%     libopusV2JNI.so[+af58]
0.06%     libopusV2JNI.so[+17168]
0.06%     libopusV2JNI.so[+15328]
0.06%     libopusV2JNI.so[+15b90]
0.06%     libopusV2JNI.so[+b8f4]
0.06%     libopusV2JNI.so[+1512c]
0.06%     libopusV2JNI.so[+14a44]
0.06%     libopusV2JNI.so[+b024]
0.06%     libopusV2JNI.so[+11694]
0.06%     libopusV2JNI.so[+16e78]
0.06%     libopusV2JNI.so[+13810]
0.06%     libopusV2JNI.so[+17018]
0.06%     libopusV2JNI.so[+14fdc]
0.06%     libopusV2JNI.so[+172f4]
0.06%     libopusV2JNI.so[+14128]
0.06%     libopusV2JNI.so[+12b68]
0.06%     libopusV2JNI.so[+17038]
0.06%     libopusV2JNI.so[+13564]
0.06%     libopusV2JNI.so[+16968]
0.06%     libopusV2JNI.so[+1379c]
0.06%     libopusV2JNI.so[+15948]
0.06%     libopusV2JNI.so[+16640]
0.06%     libopusV2JNI.so[+170d4]
0.06%     libopusV2JNI.so[+132c4]
0.06%     libopusV2JNI.so[+b7a8]
0.05%     libopusV2JNI.so[+11db0]
